date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:59:51	30983/30983	---M--	200	added ('OK')	image/png	etag:%227da2892-7907-606c192d6e34c%22	http://i2comsapp.org/images/cyborg.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/cyborg.png	(from http://i2comsapp.org/)
04:59:52	17648/17648	---M--	200	added ('OK')	image/png	etag:%227da06f1-44f0-6168ece0b66a8%22	http://i2comsapp.org/images/icon-pdf-prog.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/icon-pdf-prog.png	(from http://i2comsapp.org/)
04:59:56	22767/22767	---M--	200	added ('OK')	image/jpeg	etag:%227da0aaa-58ef-615d4b8da529e%22	http://i2comsapp.org/images/i2comsapp-flyer-ico.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/i2comsapp-flyer-ico.jpg	(from http://i2comsapp.org/)
04:59:57	253669/253669	---MCZ	200	added ('OK')	application/javascript	etag:%227da1bfe-3dee5-6109556b0067d-gzip%22	http://i2comsapp.org/jquery-ui.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/jquery-ui.min.js	(from http://i2comsapp.org/)
04:59:57	12279/12279	---M--	200	added ('OK')	image/png	etag:%227da1c74-2ff7-6109535018047%22	http://i2comsapp.org/images/pdf-icon.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/pdf-icon.png	(from http://i2comsapp.org/)
05:00:00	15697/15697	---M--	200	added ('OK')	image/png	etag:%227da1c11-3d51-6109536ea3d0c%22	http://i2comsapp.org/images/zip-file-format.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/zip-file-format.png	(from http://i2comsapp.org/)
05:00:09	51229/51229	---M--	200	added ('OK')	image/png	etag:%227da1c36-c81d-61095360c433e%22	http://i2comsapp.org/images/S-I%2015179.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/S-I%2015179.png	(from http://i2comsapp.org/)
05:00:15	34131/34131	---M--	200	added ('OK')	image/png	etag:%227da01ab-8553-613e98e9a3309%22	http://i2comsapp.org/images/arsco-sharp.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/arsco-sharp.png	(from http://i2comsapp.org/)
05:00:19	21262/21262	---M--	200	added ('OK')	image/png	etag:%227da0c74-530e-610952bf238fe%22	http://i2comsapp.org/images/1002.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/1002.png	(from http://i2comsapp.org/)
05:00:22	20697/20697	---M--	200	added ('OK')	image/png	etag:%227da018e-50d9-610952b589f95%22	http://i2comsapp.org/images/0103.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/0103.png	(from http://i2comsapp.org/)
05:00:26	245571/245571	---M--	200	added ('OK')	application/pdf	etag:%227da06d6-3bf43-616b57cf2f36f%22	http://i2comsapp.org/I2COMSAPP-Program.pdf	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/I2COMSAPP-Program.pdf	(from http://i2comsapp.org/)
05:00:26	19933/19933	---M--	200	added ('OK')	image/png	etag:%227da08dc-4ddd-6149df4d3e1cc%22	http://i2comsapp.org/images/1304.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/1304.png	(from http://i2comsapp.org/)
05:00:27	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Mar%202025%2004:00:26%20GMT	http://i2comsapp.org/www.latice.rnu.tn/english/memb_jemni.htm	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/www.latice.rnu.tn/english/memb_jemni.18.delayed	(from http://i2comsapp.org/)
05:00:34	45509/45509	---M--	200	added ('OK')	image/jpeg	etag:%227da0026-b1c5-6109530981722%22	http://i2comsapp.org/images/Farid-Meziane.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Farid-Meziane.jpg	(from http://i2comsapp.org/)
05:00:38	21746/21746	---M--	200	added ('OK')	image/jpeg	etag:%227da1566-54f2-610952e283f77%22	http://i2comsapp.org/images/Anis-Koubaa.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Anis-Koubaa.jpg	(from http://i2comsapp.org/)
05:00:39	81355/81355	---M--	200	added ('OK')	image/jpeg	etag:%227da320f-13dcb-6076a062eb24b%22	http://i2comsapp.org/images/Mohamed-Jemni.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Mohamed-Jemni.jpg	(from http://i2comsapp.org/)
05:00:42	22805/22805	---M--	200	added ('OK')	image/jpeg	etag:%227da016c-5915-6109532faa45c%22	http://i2comsapp.org/images/Mohamed-Deriche.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Mohamed-Deriche.jpg	(from http://i2comsapp.org/)
05:00:43	23293/23293	---M--	200	added ('OK')	image/jpeg	etag:%227da01a1-5afd-6109533f88274%22	http://i2comsapp.org/images/Muhammad-Abdul-Mageed.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Muhammad-Abdul-Mageed.jpg	(from http://i2comsapp.org/)
05:00:50	39159/39159	---M--	200	added ('OK')	image/jpeg	etag:%227da28aa-98f7-606c192d6fea4%22	http://i2comsapp.org/images/AI-Ethics.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/AI-Ethics.jpg	(from http://i2comsapp.org/)
05:00:52	61343/61343	---M--	200	added ('OK')	image/jpeg	etag:%227da0143-ef9f-6072789ebf866%22	http://i2comsapp.org/images/AI-Future.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/AI-Future.jpg	(from http://i2comsapp.org/)
05:01:02	54360/54360	---M--	200	added ('OK')	image/jpeg	etag:%227da0c0b-d458-6141ee74a9d88%22	http://i2comsapp.org/images/sunset-hotel.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/sunset-hotel.jpg	(from http://i2comsapp.org/)
05:01:10	65928/65928	---M--	200	added ('OK')	image/jpeg	etag:%227da01c0-10188-6141ee64e49f8%22	http://i2comsapp.org/images/nouakchott-hotel.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/nouakchott-hotel.jpg	(from http://i2comsapp.org/)
05:01:12	63885/63885	---M--	200	added ('OK')	image/jpeg	etag:%227da01a6-f98d-6141ee58c67c3%22	http://i2comsapp.org/images/fasq-hotel.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/fasq-hotel.jpg	(from http://i2comsapp.org/)
05:01:22	72173/72173	---M--	200	added ('OK')	image/jpeg	etag:%227da289e-119ed-606c192d6f2ec%22	http://i2comsapp.org/images/logo-derby-univ.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-derby-univ.jpg	(from http://i2comsapp.org/)
05:01:24	71199/71199	---M--	200	added ('OK')	image/jpeg	etag:%227da28a3-1161f-606c192d6f6d4%22	http://i2comsapp.org/images/logo-lari.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-lari.jpg	(from http://i2comsapp.org/)
05:01:32	48243/48243	---M--	200	added ('OK')	image/jpeg	etag:%227da289b-bc73-606c192d6ef04%22	http://i2comsapp.org/images/logo-ensias.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-ensias.jpg	(from http://i2comsapp.org/)
05:01:34	75268/75268	---M--	200	added ('OK')	image/jpeg	etag:%227da2898-12604-606c192d6eb1c%22	http://i2comsapp.org/images/logo-pr-sultan.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-pr-sultan.jpg	(from http://i2comsapp.org/)
05:01:43	51277/51277	---M--	200	added ('OK')	image/jpeg	etag:%227da28a9-c84d-606c192d6fea4%22	http://i2comsapp.org/images/logo-arsco.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-arsco.jpg	(from http://i2comsapp.org/)
05:01:47	90419/90419	---M--	200	added ('OK')	image/png	etag:%227da28a2-16133-606c192d6f6d4%22	http://i2comsapp.org/images/logo-alecso.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/logo-alecso.png	(from http://i2comsapp.org/)
05:01:50	14961/14961	---M--	200	added ('OK')	image/jpeg	etag:%227da031f-3a71-6151c34f26bd4%22	http://i2comsapp.org/images/Maurit-MTN2.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Maurit-MTN2.jpg	(from http://i2comsapp.org/)
05:01:59	53067/53067	---M--	200	added ('OK')	image/png	etag:%227da0320-cf4b-6151c35afcda8%22	http://i2comsapp.org/images/Maurit-RN.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Maurit-RN.png	(from http://i2comsapp.org/)
05:01:59	97303/97303	---M--	200	added ('OK')	image/png	etag:%227da031e-17c17-6151c34569047%22	http://i2comsapp.org/images/Maurit-MESRS.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Maurit-MESRS.png	(from http://i2comsapp.org/)
05:02:02	17437/17437	---M--	200	added ('OK')	image/jpeg	etag:%227da289a-441d-606c192d6ef04%22	http://i2comsapp.org/images/Logo%20FST-UNA.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Logo%20FST-UNA.jpg	(from http://i2comsapp.org/)
05:02:03	315/315	---M--	200	added ('OK')	image/png	etag:%227da2897-13b-606c192d6eb1c%22	http://i2comsapp.org/images/img0001.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/img0001.png	(from http://i2comsapp.org/)
05:02:06	47149/47149	---M--	200	added ('OK')	image/jpeg	etag:%227da06d7-b82d-616b58140e141%22	http://i2comsapp.org/images/Logo-Next-Tech.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Logo-Next-Tech.jpg	(from http://i2comsapp.org/)
05:02:07	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Mar%202025%2004:02:06%20GMT	http://i2comsapp.org/owl.video.play.png	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/owl.video.play.30.delayed	(from http://i2comsapp.org/index.css)
05:02:14	525834/525834	---M--	200	added ('OK')	application/pdf	etag:%227da018b-8060a-60e5e75c30773%22	http://i2comsapp.org/I2Comsapp_Sponsorship_Proposal.pdf	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/I2Comsapp_Sponsorship_Proposal.pdf	(from http://i2comsapp.org/)
05:02:36	250235/250235	---M--	200	added ('OK')	image/jpeg	etag:%227da2893-3d17b-606c192d6e34c%22	http://i2comsapp.org/images/Maurit%20AI2024%20Header.jpg	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/images/Maurit%20AI2024%20Header.jpg	(from http://i2comsapp.org/index.css)
05:03:16	574551/574551	UR-M--	200	added ('Partial%20Content')	application/zip	etag:%227da0009-8c457-60b61273e7d7b%22	http://i2comsapp.org/Microsoft+Word+Proceedings+Templates.zip	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/Microsoft+Word+Proceedings+Templates.zip	(from http://i2comsapp.org/)
05:03:28	779852/779852	---M--	200	added ('OK')	application/pdf	etag:%227da06c7-be64c-615d4b4d89538%22	http://i2comsapp.org/I2ComsApp2024-Flyer.pdf	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/I2ComsApp2024-Flyer.pdf	(from http://i2comsapp.org/)
05:06:58	6728942/6728942	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%227da0e3e-66acee-60b6297117f41%22	http://i2comsapp.org/I2comsapp2024_Call4Papers.pdf	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/I2comsapp2024_Call4Papers.pdf	(from http://i2comsapp.org/)
